# mass1 mass2 srcmass1 srcmass2 distance redshift
3.431457792326034451e+01 2.746923667116596235e+01 3.010690337344788148e+01 2.410094205590005245e+01 6.815914974304571388e+02 1.397577989878338312e-01
3.168411173988668139e+01 2.569731586331312911e+01 2.659530829602545765e+01 2.157005515495642811e+01 9.627812792416385719e+02 1.913421490444508488e-01
3.292503967847487445e+01 2.598119320683059286e+01 2.672391211591762428e+01 2.108787508553667323e+01 1.194915148437467224e+03 2.320441534031112141e-01
3.204698253321780044e+01 2.654553354701718249e+01 2.589650699757165953e+01 2.145089930204979822e+01 1.226704668335220049e+03 2.375021286161441425e-01
3.334572396257474480e+01 2.492431189543991010e+01 2.794279979516005241e+01 2.088588804093932083e+01 9.740617720581061576e+02 1.933565786901042249e-01
3.750985127702423938e+01 1.895002586761414065e+01 3.275477537452045596e+01 1.654775530968981911e+01 7.103970978795731526e+02 1.451719893705239461e-01
4.337026764093824482e+01 1.785902068980372803e+01 3.658267517225534959e+01 1.506402400369286099e+01 9.304202296374295429e+02 1.855411731570322798e-01
4.389085553059605616e+01 2.371202920482232557e+01 3.463282204208699255e+01 1.871037777185540207e+01 1.403049515983696210e+03 2.673196390770114506e-01
3.411650155784140992e+01 2.803066579811183345e+01 2.745237092395469602e+01 2.255530900290423446e+01 1.257429256470151586e+03 2.427524621588022513e-01
4.282599656991785508e+01 2.073105475311819745e+01 3.629303544395028780e+01 1.756860237255737545e+01 8.997133877224295020e+02 1.800059170045683332e-01
3.036270974389469757e+01 2.916360776240989239e+01 2.443879234655515020e+01 2.347364119321507303e+01 1.255351250638463853e+03 2.423981231697224792e-01
4.203898458795604398e+01 1.799577479063943741e+01 3.778523930932871622e+01 1.617485920951347822e+01 5.395664867390713653e+02 1.125769045368235355e-01
2.930965659029992665e+01 2.398630966234159345e+01 2.588615938088483048e+01 2.118460286171092477e+01 6.419389464108173797e+02 1.322520331827639062e-01
4.347769918916988985e+01 2.271354010797273659e+01 3.340367821696592898e+01 1.745068849282309387e+01 1.611120298764652262e+03 3.015841820403867835e-01
3.638838021784534504e+01 2.372232581756143333e+01 2.943884180136559081e+01 1.919178025300389123e+01 1.218330879581188810e+03 2.360669778848903666e-01
3.869092774736505191e+01 2.357244998079686482e+01 3.129309098303949455e+01 1.906531750178722717e+01 1.220301013835017329e+03 2.364047951777950018e-01
3.510529703193333972e+01 2.439085373481608698e+01 2.956713775836944436e+01 2.054298904708143780e+01 9.402566904749485275e+02 1.873079267537904602e-01
3.224955874669078781e+01 2.640512528937571801e+01 2.740608670695016968e+01 2.243941254739711155e+01 8.816186310768783869e+02 1.767297933313594638e-01
3.942997988869265669e+01 2.467441301306904933e+01 3.129606804108231799e+01 1.958439011915964301e+01 1.358763079745782079e+03 2.599020374359156116e-01
4.335335413697810480e+01 1.913788115257618117e+01 3.699152740565298103e+01 1.632951980842969775e+01 8.554936362723633465e+02 1.719806446908954400e-01
