# mass1 mass2 srcmass1 srcmass2 distance redshift
4.970254765012139586e+01 3.749387654337361653e+01 3.405530460237228141e+01 2.569013957587767649e+01 2.638216199999999844e+03 4.594656612367851167e-01
4.268483282249088262e+01 3.739840957120466669e+01 2.928574812163882157e+01 2.565877222494586007e+01 2.624990699999999833e+03 4.575291928756183291e-01
4.439885144465351630e+01 3.247040176027443437e+01 3.522030629001082502e+01 2.575781710889924270e+01 1.362941100000000006e+03 2.606037857554325265e-01
4.041840745030490467e+01 3.667007454525563759e+01 2.767657407759646659e+01 2.510989666850656832e+01 2.644488699999999881e+03 4.603833312961466695e-01
4.362986431246486063e+01 3.701615920199336784e+01 3.027705324217959060e+01 2.568745607259563712e+01 2.512839699999999993e+03 4.410208273400659795e-01
4.615190697752947813e+01 4.049147663781024420e+01 3.127782690534893817e+01 2.744166991920914356e+01 2.748606800000000021e+03 4.755471061717803094e-01
4.248029287477347538e+01 3.697075082789659461e+01 3.234349371137421514e+01 2.814865825976800906e+01 1.684241700000000037e+03 3.134107667482581849e-01
4.093903182766360516e+01 3.507445579620491571e+01 2.879716111240389864e+01 2.467192577355205785e+01 2.382520100000000184e+03 4.216342947093418836e-01
4.354254883494714790e+01 3.914206722606276401e+01 3.315145753287085739e+01 2.980111670339637797e+01 1.684441700000000083e+03 3.134429697932028525e-01
4.870274720111002864e+01 3.446720152022702877e+01 3.526050130460038901e+01 2.495405031571175769e+01 2.115858400000000074e+03 3.812267381109481490e-01
4.281905244018469858e+01 3.805124146505833238e+01 2.885976469890013263e+01 2.564629090558825553e+01 2.804905900000000202e+03 4.836937475729510827e-01
4.668357496314764177e+01 3.827708442435118741e+01 3.387822088026955925e+01 2.777763960460540105e+01 2.094743599999999788e+03 3.779818936813127972e-01
4.159113076579954793e+01 3.498941078418543071e+01 2.947191232973207775e+01 2.479386417520671060e+01 2.313093199999999797e+03 4.112124893857421193e-01
4.382668708133161317e+01 3.653261361134273955e+01 3.359275188212143348e+01 2.800191176608462484e+01 1.629994599999999764e+03 3.046471225436234720e-01
4.521062027814711115e+01 3.016305930019127146e+01 3.285951036143745085e+01 2.192279941105704921e+01 2.081066100000000006e+03 3.758762617231327097e-01
4.790721560713746641e+01 3.372829244364069012e+01 3.331612655263830902e+01 2.345567458296018515e+01 2.492155600000000049e+03 4.379587474385939205e-01
4.426637550467624038e+01 3.945547661006904150e+01 2.963920264871845589e+01 2.641799455037990541e+01 2.873058500000000095e+03 4.935076368051432572e-01
4.425695432503411553e+01 3.908085033390375429e+01 3.199095860963986127e+01 2.824943298807720993e+01 2.130160499999999956e+03 3.834206991127215303e-01
4.346849703121903019e+01 4.018682049654265853e+01 3.356405117481750722e+01 3.103011587289141460e+01 1.571255000000000109e+03 2.950908936711623132e-01
4.309535417995014228e+01 3.502838244079661223e+01 3.089281585038416011e+01 2.511002378033157356e+01 2.205957399999999780e+03 3.949959883444628117e-01
4.437964154661573701e+01 4.085993555556969881e+01 3.514814754226738813e+01 3.236058231714622480e+01 1.375109400000000051e+03 2.626452501727728484e-01
5.252358826340480391e+01 3.859420100574851631e+01 4.077838766407968052e+01 2.996385704467110855e+01 1.528104100000000017e+03 2.880251346884682984e-01
4.230955713705677113e+01 3.730708811412405623e+01 3.285722851551491175e+01 2.897235523981891347e+01 1.525995300000000043e+03 2.876788167656485484e-01
4.500969921174296928e+01 4.027456298497565257e+01 3.171516516917840178e+01 2.837864814816918368e+01 2.366166299999999865e+03 4.191853951145281809e-01
4.014621932201428933e+01 3.431425033799335722e+01 2.980619982808981661e+01 2.547630685523819238e+01 1.894864800000000059e+03 3.469083463695991076e-01
4.142620784379295884e+01 4.098529105420246310e+01 3.326436503236509168e+01 3.291031821511497668e+01 1.272758100000000013e+03 2.453629523211000307e-01
4.675446109371389980e+01 3.442566125661001308e+01 3.238627651617507297e+01 2.384625891578604495e+01 2.530632000000000062e+03 4.436504014397193441e-01
4.162918808594162812e+01 3.943703459808497058e+01 2.905079870218375149e+01 2.752101124708034163e+01 2.458598599999999806e+03 4.329791243506277421e-01
4.267964894607643345e+01 3.621805830660420611e+01 2.881986000039915297e+01 2.445660626687473993e+01 2.785647199999999884e+03 4.809110434778421372e-01
4.832776864559495067e+01 3.394755553546943361e+01 3.414866290576388508e+01 2.398752648724059711e+01 2.339717399999999998e+03 4.152170109547042021e-01
4.636212999264122203e+01 2.706629556429921735e+01 3.302868644716290447e+01 1.928220704314854572e+01 2.263277500000000146e+03 4.036928191742736316e-01
